Date,Open,High,Low,Close,Adj Close,Volume
2014-11-18,152200.000000,157600.000000,151800.000000,156200.000000,154327.296875,493490
2014-11-19,157800.000000,158000.000000,156000.000000,157400.000000,155512.890625,523815
2014-11-20,156400.000000,158200.000000,156400.000000,157800.000000,155908.093750,267210
2014-11-21,157200.000000,157600.000000,152600.000000,152600.000000,150770.468750,397910
2014-11-24,153200.000000,154000.000000,148400.000000,150000.000000,148201.609375,782405
2014-11-25,150200.000000,152400.000000,150000.000000,150600.000000,148794.437500,367790
2014-11-26,149800.000000,151600.000000,149800.000000,150600.000000,148794.437500,222705
2014-11-27,150000.000000,151200.000000,148200.000000,149000.000000,147213.640625,459920
2014-11-28,148400.000000,151600.000000,148400.000000,151200.000000,149387.250000,185015
2014-12-01,149200.000000,151600.000000,146000.000000,147600.000000,145830.406250,536420
2014-12-02,148200.000000,148400.000000,145800.000000,146600.000000,144842.390625,291130
2014-12-03,145800.000000,147400.000000,145600.000000,146800.000000,145039.984375,239725
2014-12-04,146400.000000,147600.000000,146000.000000,147200.000000,145435.187500,476030
2014-12-05,147200.000000,147400.000000,146200.000000,147200.000000,145435.187500,363495
2014-12-08,146400.000000,147200.000000,146000.000000,146000.000000,144249.578125,278675
2014-12-09,146200.000000,147200.000000,145200.000000,145200.000000,143459.171875,376115
2014-12-10,146000.000000,146400.000000,140200.000000,142200.000000,140495.140625,497765
2014-12-11,140400.000000,142600.000000,140400.000000,140800.000000,139111.937500,376160
2014-12-12,142600.000000,144000.000000,140600.000000,142600.000000,140890.343750,443360
2014-12-15,141000.000000,145600.000000,140400.000000,144400.000000,142668.781250,247610
2014-12-16,144600.000000,147000.000000,143800.000000,145800.000000,144051.968750,342825
2014-12-17,147800.000000,147800.000000,144200.000000,145800.000000,144051.968750,347430
2014-12-18,147600.000000,147600.000000,142600.000000,143800.000000,142075.953125,318390
2014-12-19,144400.000000,148000.000000,144000.000000,148000.000000,146225.609375,435355
2014-12-22,148600.000000,149000.000000,146200.000000,149000.000000,147213.640625,226725
2014-12-23,149800.000000,150200.000000,148000.000000,149000.000000,147213.640625,188230
2014-12-24,148600.000000,149200.000000,146000.000000,148200.000000,146423.218750,247520
2014-12-26,146600.000000,149200.000000,146200.000000,147200.000000,145435.187500,204175
2014-12-29,145600.000000,146800.000000,144200.000000,144600.000000,143018.328125,187840
2014-12-30,143400.000000,144400.000000,141600.000000,142400.000000,140842.406250,426950
2015-01-02,142600.000000,146600.000000,142400.000000,146200.000000,144600.828125,321125
2015-01-05,145200.000000,150000.000000,144200.000000,149800.000000,148161.437500,562860
2015-01-06,148200.000000,150800.000000,147000.000000,148600.000000,146974.578125,461575
2015-01-07,149800.000000,149800.000000,146000.000000,146400.000000,144798.671875,259935
2015-01-08,145800.000000,149000.000000,145800.000000,148800.000000,147172.390625,281960
2015-01-09,151800.000000,151800.000000,148400.000000,150400.000000,148754.875000,369935
2015-01-12,149200.000000,152000.000000,149200.000000,150000.000000,148359.234375,183665
2015-01-13,150400.000000,151000.000000,147600.000000,148000.000000,146381.140625,244640
2015-01-14,147000.000000,149000.000000,146400.000000,147800.000000,146183.328125,319250
2015-01-15,149600.000000,155600.000000,148200.000000,155400.000000,153700.203125,936180
2015-01-16,155800.000000,156000.000000,151400.000000,155400.000000,153700.203125,583295
2015-01-19,156000.000000,156800.000000,154600.000000,155200.000000,153502.375000,456525
2015-01-20,156000.000000,159400.000000,156000.000000,158000.000000,156271.750000,506715
2015-01-21,156400.000000,157800.000000,153600.000000,156000.000000,154293.625000,357820
2015-01-22,156600.000000,157800.000000,152400.000000,153000.000000,151326.437500,417195
2015-01-23,155000.000000,156000.000000,152000.000000,156000.000000,154293.625000,496485
2015-01-26,155000.000000,155800.000000,153600.000000,154200.000000,152513.328125,345015
2015-01-27,154800.000000,155000.000000,152200.000000,152800.000000,151128.640625,422445
2015-01-28,152000.000000,156000.000000,152000.000000,155400.000000,153700.203125,616100
2015-01-29,152000.000000,152400.000000,146200.000000,147200.000000,145589.875000,1392375
2015-01-30,145000.000000,146000.000000,142200.000000,143200.000000,141633.640625,1500305
2015-02-02,143200.000000,144600.000000,141400.000000,142200.000000,140644.578125,564970
2015-02-03,142200.000000,143400.000000,141000.000000,142400.000000,140842.406250,608205
